title:Meital2, start timestamp:1638094773.891291, stop timestamp:1638094845.366033, headset type:EPOCX, headset serial:E20205C4, headset firmware:710, channels:67, sampling rate:eeg_128;mot_32, samples:9155      , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1638094773.969373,10.000000,0.000000,4833.589844,4256.153809,4454.230957,4347.820313,4282.692383,4195.512695,4197.436035,4462.948730,4192.692383,4229.102539,4835.769043,4608.077148,4466.794922,4631.282227,2545.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094773.977181,11.000000,0.000000,4823.077148,4246.282227,4447.563965,4347.307617,4277.692383,4209.871582,4206.538574,4463.461426,4171.666504,4214.487305,4832.820313,4603.589844,4458.461426,4625.384766,2641.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094773.984989,12.000000,0.000000,4810.897461,4244.743652,4428.846191,4336.666504,4290.512695,4215.256348,4207.436035,4463.205078,4165.384766,4208.333496,4815.512695,4593.205078,4460.897461,4616.794922,2236.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,3.000000,0.000000,0.262254,0.630188,-0.289795,0.670898,0.975705,-0.049811,0.027835,-44.952511,-2.305545,-24.701750
1638094773.992797,13.000000,0.000000,4814.871582,4251.282227,4412.307617,4326.538574,4292.563965,4203.846191,4198.974121,4462.179688,4170.897461,4218.205078,4810.384766,4585.256348,4460.897461,4615.897461,2388.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.000506,14.000000,0.000000,4812.179688,4245.000000,4401.922852,4337.692383,4280.512695,4195.769043,4181.282227,4463.205078,4165.384766,4223.333496,4832.179688,4580.641113,4457.563965,4607.563965,2545.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.008314,15.000000,0.000000,4798.974121,4233.589844,4394.615234,4342.436035,4277.948730,4203.077148,4167.820313,4462.179688,4168.461426,4214.871582,4844.871582,4582.051270,4456.666504,4598.461426,2641.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.016022,16.000000,0.000000,4797.051270,4236.794922,4392.307617,4319.230957,4283.077148,4202.179688,4166.794922,4460.000000,4202.820313,4210.769043,4829.230957,4582.179688,4457.563965,4602.563965,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,4.000000,0.000000,0.262040,0.630249,-0.289856,0.670898,0.981565,-0.067391,0.030277,-44.923923,-2.274990,-24.714909
1638094774.023830,17.000000,0.000000,4795.769043,4238.333496,4385.000000,4309.743652,4280.512695,4195.897461,4162.307617,4462.179688,4224.358887,4215.384766,4810.000000,4572.692383,4461.025879,4596.794922,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.031539,18.000000,0.000000,4782.307617,4233.077148,4371.153809,4330.256348,4266.794922,4199.615234,4154.358887,4463.974121,4213.077148,4213.846191,4807.307617,4569.102539,4459.871582,4583.461426,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.039347,19.000000,0.000000,4777.307617,4232.179688,4363.461426,4340.128418,4261.538574,4193.333496,4150.128418,4461.666504,4190.256348,4201.666504,4818.077148,4568.974121,4452.948730,4585.384766,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
