title:Meital1, start timestamp:1638094657.533968, stop timestamp:1638094730.266930, headset type:EPOCX, headset serial:E20205C4, headset firmware:710, channels:67, sampling rate:eeg_128;mot_32, samples:9316      , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1638094657.533968,74.000000,0.000000,4035.641113,4202.307617,4312.820313,4258.333496,4287.563965,4218.333496,4200.128418,4474.487305,4397.563965,4242.820313,4695.128418,4546.794922,4478.974121,4598.333496,2551.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,33.333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094657.541676,75.000000,0.000000,4050.384521,4221.025879,4336.666504,4270.769043,4296.666504,4219.743652,4198.333496,4474.358887,4415.000000,4242.820313,4715.641113,4566.922852,4492.948730,4618.333496,2656.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,33.333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094657.549484,76.000000,0.000000,4046.281982,4221.410156,4336.538574,4275.256348,4302.436035,4217.179688,4199.358887,4473.333496,4412.179688,4234.358887,4712.563965,4569.230957,4486.025879,4621.410156,2069.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,33.333332,,,,,,,,,,,,,,,,,19.000000,0.000000,0.250937,0.640747,-0.284363,0.667542,0.988890,-0.068368,0.007813,-44.852173,-3.128861,-24.586363
1638094657.557192,77.000000,0.000000,4044.615479,4212.179688,4321.794922,4258.974121,4295.897461,4219.487305,4198.077148,4471.153809,4404.615234,4230.769043,4699.615234,4554.871582,4483.717773,4615.641113,2513.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,33.333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094657.565001,78.000000,0.000000,4057.692383,4220.641113,4325.512695,4261.025879,4286.410156,4222.692383,4198.205078,4471.666504,4412.820313,4236.922852,4698.077148,4557.051270,4495.384766,4616.666504,2551.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,33.333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094657.572709,79.000000,0.000000,4051.025635,4218.974121,4326.922852,4279.615234,4280.256348,4215.897461,4198.077148,4476.153809,4411.794922,4228.461426,4685.512695,4567.179688,4481.794922,4604.743652,2656.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,33.333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094657.580517,80.000000,0.000000,4038.846191,4200.384766,4322.051270,4273.077148,4278.717773,4209.487305,4196.666504,4477.948730,4406.410156,4215.641113,4679.487305,4568.717773,4452.563965,4593.717773,2069.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,33.333332,,,,,,,,,,,,,,,,,20.000000,0.000000,0.250666,0.640808,-0.284607,0.667480,0.976682,-0.078135,0.022464,-44.683624,-3.232642,-24.627726
1638094657.588225,81.000000,0.000000,4045.897461,4194.743652,4324.102539,4257.563965,4279.102539,4213.333496,4197.820313,4475.000000,4414.487305,4212.307617,4697.563965,4561.922852,4453.974121,4598.589844,2513.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,33.333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094657.596134,82.000000,0.000000,4052.564209,4206.538574,4328.589844,4272.307617,4282.436035,4217.563965,4200.512695,4472.563965,4413.589844,4212.948730,4699.743652,4555.512695,4470.512695,4601.153809,2551.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,33.333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094657.603942,83.000000,0.000000,4056.281982,4218.846191,4338.589844,4289.743652,4297.563965,4218.717773,4202.563965,4472.948730,4406.410156,4222.436035,4691.153809,4565.641113,4476.538574,4604.358887,2656.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,33.333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
